scenario_id,scenario_name,entity_type,school_id,school_name,region,priority_rank,future_priority_rank,rank_change,risk_score,priority_score,demand_pressure_index,future_priority_score,data_origin,scenario_type
A,Conservative Growth,region,,GEITA,GEITA,26,11,15,16.926172579617003,36.24290042612521,77.51807424108439,36.771244050513765,synthetic,hypothetical_policy_scenario
A,Conservative Growth,region,,PWANI,PWANI,18,4,14,17.439754644711357,38.07316782379861,83.83373333650168,38.971915654704326,synthetic,hypothetical_policy_scenario
A,Conservative Growth,region,,KAGERA,KAGERA,24,19,5,12.691611547450492,36.74299255539006,73.63204445100592,34.50025053133741,synthetic,hypothetical_policy_scenario
A,Conservative Growth,region,,KASKAZINI PEMBA,KASKAZINI PEMBA,6,1,5,31.490757867177575,40.71176560755587,61.46303501945526,41.17361639378443,synthetic,hypothetical_policy_scenario
A,Conservative Growth,region,,KUSINI UNGUJA,KUSINI UNGUJA,11,7,4,29.784566930731597,38.90965211302634,50.376652531803444,37.553018123863865,synthetic,hypothetical_policy_scenario
A,Conservative Growth,region,,MWANZA,MWANZA,27,23,4,12.76285609523234,35.8465442239716,70.27915661713219,33.49959145110802,synthetic,hypothetical_policy_scenario
A,Conservative Growth,region,,TABORA,TABORA,25,21,4,13.865702227986798,36.504378202429365,68.38725562998805,33.82548329816407,synthetic,hypothetical_policy_scenario
A,Conservative Growth,region,,KIGOMA,KIGOMA,14,12,2,15.6157062435702,38.607585358777946,74.16714561708434,36.52274576435613,synthetic,hypothetical_policy_scenario
A,Conservative Growth,region,,MBEYA,MBEYA,29,27,2,15.2299274586872,35.63903439840227,60.952767835576736,32.53813830995114,synthetic,hypothetical_policy_scenario
A,Conservative Growth,region,,KATAVI,KATAVI,10,9,1,14.53948676002534,39.08276492574299,77.96605681908444,37.04211203812422,synthetic,hypothetical_policy_scenario
A,Conservative Growth,region,,SHINYANGA,SHINYANGA,21,20,1,13.63569660813777,37.77957580287875,69.44676977592835,34.45546291959228,synthetic,hypothetical_policy_scenario
A,Conservative Growth,region,,TANGA,TANGA,15,14,1,20.294586897485,38.50379288567508,63.61694994315036,36.24274190189411,synthetic,hypothetical_policy_scenario
A,Conservative Growth,region,,KILIMANJARO,KILIMANJARO,31,31,0,12.807062794844985,35.1458114831076,54.06000952044593,29.99315161527022,synthetic,hypothetical_policy_scenario
A,Conservative Growth,region,,KUSINI PEMBA,KUSINI PEMBA,3,3,0,29.748407031979863,41.68708233889699,53.90172538610039,39.35454082557082,synthetic,hypothetical_policy_scenario
A,Conservative Growth,region,,MANYARA,MANYARA,30,30,0,9.64228792784645,35.40152859490686,67.67206635637952,31.551939880377226,synthetic,hypothetical_policy_scenario
A,Conservative Growth,region,,SINGIDA,SINGIDA,13,13,0,16.00969834893016,38.67065829271814,72.78584679426271,36.42931201551186,synthetic,hypothetical_policy_scenario
A,Conservative Growth,region,,ARUSHA,ARUSHA,28,29,-1,10.147427954710333,35.66666940729364,67.71530907753896,31.86870076030938,synthetic,hypothetical_policy_scenario
A,Conservative Growth,region,,KASKAZINI UNGUJA,KASKAZINI UNGUJA,1,2,-1,31.98091144184124,42.4862375172773,49.697924875229845,39.72644455869339,synthetic,hypothetical_policy_scenario
A,Conservative Growth,region,,MOROGORO,MOROGORO,7,8,-1,15.95585882761668,40.258087936594606,74.50743725371863,37.38706615642824,synthetic,hypothetical_policy_scenario
A,Conservative Growth,region,,DAR ES SALAAM,DAR ES SALAAM,4,6,-2,20.1046613332126,41.39912834757635,66.68973206965534,37.93946228624665,synthetic,hypothetical_policy_scenario
A,Conservative Growth,region,,RUKWA,RUKWA,16,18,-2,13.638320884934004,38.36414928785411,70.11808932292732,34.82460593370071,synthetic,hypothetical_policy_scenario
